id,sdNDVI
1,0.275735892
2,0.128688776
3,0.13339143
4,0.093531624
5,0.153494093
6,0.126385034
7,0.139243927
8,0.21320842
9,0.130226939
10,0.069475682
11,0.090684202
12,0.167480071
13,0.131206569
14,0.153462408
15,0.209130549
16,0.239628219
17,0.116021815
18,0.068801829
19,0.080744939
20,0.174750895
21,0.264007203
22,0.058340675
23,0.136627444
24,0.199985811
25,0.176341633
26,0.127773729
27,0.080442045
28,0.086418885
29,0.080955655
30,0.311337759
31,0.233353579
32,0.165648911
33,0.105455702
34,0.110971383
35,0.157776292
36,0.114745413
37,0.118547884
38,0.124703939
39,0.085294681
40,0.092683038
41,0.140175213
42,0.27884751
43,0.239219687
44,0.184717199
45,0.094344092
46,0.108017978
47,0.146077582
48,0.185145578
49,0.112155636
50,0.109804811
51,0.091555942
52,0.067319225
53,0.124862994
54,0.137720992
55,0.1387791
56,0.080915926
57,0.086319376
58,0.087988264
59,0.172883293
60,NA
61,0.109805561
62,0.102755686
63,0.112728731
64,0.098898838
65,0.11241188
66,0.116406374
67,0.115035943
68,0.057482217
69,0.081436997
70,0.083507052
71,0.141519964
72,0.172625607
73,0.096012403
74,0.111451556
75,0.115570007
76,0.11688262
77,0.116206515
78,0.103706919
79,0.071889571
80,0.073944031
81,0.089365417
82,0.113319801
83,NA
84,0.082788064
85,0.069312269
86,0.104788468
87,0.095881224
88,0.09743779
89,0.081035386
90,0.089276233
91,0.169528524
92,0.080131655
93,0.083271126
94,0.100838998
95,0.079223573
96,0.123838531
97,0.132793218
98,0.13381433
99,0.091112106
100,0.090403659
101,0.084972228
102,0.102126344
103,0.119168059
104,0.078273891
105,0.103145672
106,0.1100134
107,0.142869818
108,0.131282671
109,0.19445855
110,0.097759051
111,0.06817793
112,0.07553029
113,0.083405931
114,0.094617516
115,0.105009015
116,0.095789201
117,0.103418985
118,0.114763388
119,0.161521702
120,0.363244108
121,0.330610622
122,0.134624629
123,0.0742173
124,0.061825662
125,0.064959422
126,0.095528918
127,0.098045123
128,0.110028826
129,0.126259743
130,0.100037779
131,0.187425785
132,0.22720431
133,0.308921183
134,0.229321783
135,0.10339112
136,0.076125342
137,0.088299443
138,0.100683203
139,0.089014779
140,0.116327514
141,0.109867046
142,0.132769582
143,0.100780363
144,0.186149323
145,0.235472647
146,0.085605642
147,0.066769951
148,0.070936692
149,0.12963827
150,0.08411933
151,0.083357479
152,0.093632176
153,0.115473921
154,0.132401521
155,0.110896315
156,0.110540107
157,0.074645038
158,0.084398632
159,0.07985624
160,0.082594252
161,0.19122332
162,0.066039721
163,0.092335816
164,0.093712023
165,0.122870807
166,0.166811113
167,0.137522376
168,0.155104882
169,0.149639367
170,0.092286143
171,0.060883541
172,0.117362898
173,0.065504169
174,0.087955826
175,0.095912654
176,0.082812868
177,0.109092633
178,0.167395882
179,0.143636962
180,0.088324997
181,0.060156634
182,0.054345418
183,0.054278742
184,0.058911961
185,0.063846306
186,0.053444712
187,0.102645946
188,0.105452947
189,0.072239244
190,0.112474226
191,0.169475143
192,0.064742469
193,0.125380022
194,0.083647558
195,0.08073863
196,0.062414518
197,0.079659197
198,0.06870523
199,0.056757933
200,0.074678609
201,0.088920209
202,0.082468584
203,0.104472363
204,0.163589078
205,0.173307425
206,0.163844055
207,0.068674957
208,0.087930743
209,0.097080251
210,0.095454293
211,0.062378336
212,0.062122796
213,0.062545417
214,0.056353823
215,0.068082961
216,0.078611186
217,0.127335475
218,0.092672479
219,0.12501981
220,0.112963689
221,0.142489389
222,0.13031791
223,0.096642526
224,0.094072338
225,0.079907375
226,0.084566315
227,0.087263198
228,0.120979146
229,0.106731352
230,0.090838511
231,0.08134866
232,0.089066715
233,0.138655203
234,0.186292715
235,0.106324223
236,0.10180941
237,0.087379681
238,0.175219953
239,0.090783757
240,0.079323984
241,0.061813109
242,0.157075233
243,0.081517737
244,0.101893497
245,0.098058371
246,0.097629072
247,0.088327581
248,0.127971183
249,0.078659941
250,0.129617771
251,0.173477427
252,0.134291149
253,0.09841643
254,0.074220397
255,0.071265258
256,0.174865397
257,0.11750288
258,0.086867181
259,0.098300977
260,0.085961214
261,0.126454318
262,0.169926731
263,0.154001734
264,0.185065501
265,0.066324853
266,0.128272075
267,0.129269609
268,0.105541036
269,0.101187328
270,0.090393655
271,0.13623151
272,0.111010876
273,0.079267115
274,0.158498471
275,0.130132228
276,0.166159824
277,0.169037956
278,0.146568841
279,0.203269028
280,0.119390153
281,0.080142318
282,0.100733446
283,0.128048158
284,0.083190704
285,0.138485921
286,0.132880482
287,0.140677243
288,0.121435668
289,0.150035292
290,0.091562941
291,0.077756436
292,0.069004446
293,0.096420477
294,0.102252544
295,0.143573361
296,0.179974717
297,0.144090221
298,0.112507528
299,0.078649409
300,0.114717151
301,0.139015765
302,0.145695165
303,0.183620686
304,0.107893877
305,0.159386053
306,0.149476844
307,0.183379697
